# id|tipo|marca|prodotto|mm|kg_carico|metri|prezzo|livello|img
# dati veri dal catalogo di riferimento - ogni tabella letta a se'
96|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.85|36.00|457|4985|65|10573.png
97|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.87|38.00|137|2116|75|10883.png
98|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.87|38.00|274|3394|76|10885.png
99|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.87|38.00|457|4896|76|10887.png
100|braid|MagFin|All-round braid fishing line|0.12|1.80|137|280|5|385.png
101|braid|MagFin|UL Pro Serie braid fishing line|0.08|1.80|137|935|1|1598.png
102|braid|MagFin|All-round braid fishing line|0.12|1.80|274|420|6|1689.png
103|braid|MagFin|UL Pro Serie braid fishing line|0.08|1.80|274|1430|1|2035.png
104|braid|MagFin|All-round braid fishing line|0.12|1.80|457|630|6|2011.png
105|braid|MagFin|UL Pro Serie braid fishing line|0.08|1.80|457|2120|1|2037.png
106|braid|MagFin|UL Pro Serie braid fishing line|0.10|2.50|137|1500|1|1600.png
107|braid|MagFin|UL Pro Serie braid fishing line|0.10|2.50|274|2350|1|2043.png
108|braid|MagFin|UL Pro Serie braid fishing line|0.10|2.50|457|3500|1|2041.png
109|braid|MagFin|All-round braid fishing line|0.15|2.70|137|370|11|386.png
110|braid|MagFin|All-round braid fishing line|0.15|2.70|274|555|12|1691.png
111|braid|MagFin|All-round braid fishing line|0.15|2.70|457|830|13|2015.png
112|braid|MagFin|UL Pro Serie braid fishing line|0.13|3.40|137|2150|1|1602.png
113|braid|MagFin|UL Pro Serie braid fishing line|0.13|3.40|274|3279|1|2047.png
114|braid|MagFin|UL Pro Serie braid fishing line|0.13|3.40|457|4876|1|2049.png
115|braid|MagFin|All-round braid fishing line|0.18|3.60|137|460|15|387.png
116|braid|MagFin|All-round braid fishing line|0.18|3.60|274|690|16|1695.png
117|braid|MagFin|All-round braid fishing line|0.18|3.60|457|1030|16|2019.png
118|braid|MagFin|All-round braid fishing line|0.20|4.50|137|550|18|455.png
119|braid|MagFin|All-round braid fishing line|0.20|4.50|274|825|19|1697.png
120|braid|MagFin|All-round braid fishing line|0.20|4.50|457|1235|19|2023.png
121|braid|MagFin|UL Pro Serie braid fishing line|0.15|6.00|137|3250|20|8380.png
122|braid|MagFin|UL Pro Serie braid fishing line|0.15|6.00|274|5000|21|8394.png
123|braid|MagFin|UL Pro Serie braid fishing line|0.15|6.00|457|7580|22|8396.png
124|braid|MagFin|All-round braid fishing line|0.22|7.70|137|500|25|3496.png
125|braid|MagFin|All-round braid fishing line|0.22|7.70|274|790|26|3498.png
126|braid|MagFin|All-round braid fishing line|0.22|7.70|457|1410|27|3500.png
127|braid|UL-CHUBER|Carp braid fishing line|0.17|8.65|137|710|30|6066.png
128|braid|UL-CHUBER|Carp braid fishing line|0.17|8.65|274|1065|31|6067.png
129|braid|UL-CHUBER|Carp braid fishing line|0.17|8.65|457|1595|32|6068.png
130|braid|MagFin|All-round braid fishing line|0.23|9.10|137|880|30|456.png
131|braid|MagFin|All-round braid fishing line|0.23|9.10|274|1320|31|1699.png
132|braid|MagFin|All-round braid fishing line|0.23|9.10|457|1980|32|2027.png
133|braid|MagFin|UL Pro Serie braid fishing line|0.19|10.40|137|3790|32|8392.png
134|braid|MagFin|UL Pro Serie braid fishing line|0.19|10.40|274|6120|34|8402.png
135|braid|MagFin|UL Pro Serie braid fishing line|0.19|10.40|457|9140|36|8404.png
136|braid|UL-CHUBER|Carp braid fishing line|0.19|12.1|137|1030|34|6070.png
137|braid|UL-CHUBER|Carp braid fishing line|0.19|12.1|274|1545|35|6076.png
138|braid|UL-CHUBER|Carp braid fishing line|0.19|12.1|457|2315|36|6078.png
139|braid|MagFin|All-round braid fishing line|0.28|13.60|137|1150|36|457.png
140|braid|MagFin|All-round braid fishing line|0.28|13.60|274|1725|37|1701.png
141|braid|MagFin|All-round braid fishing line|0.28|13.60|457|2590|37|5274.png
142|braid|UL-CHUBER|Carp braid fishing line|0.21|15.4|137|1270|38|6082.png
143|braid|UL-CHUBER|Carp braid fishing line|0.21|15.4|274|1900|39|6084.png
144|braid|UL-CHUBER|Carp braid fishing line|0.21|15.4|457|2855|40|6086.png
145|braid|MagFin|All-round braid fishing line|0.30|18.70|137|1430|46|5270.png
146|braid|MagFin|All-round braid fishing line|0.30|18.70|274|2195|47|5272.png
147|braid|UL-CHUBER|Carp braid fishing line|0.24|20.85|137|1600|42|6090.png
148|braid|UL-CHUBER|Carp braid fishing line|0.24|20.85|274|2400|43|6092.png
149|braid|UL-CHUBER|Carp braid fishing line|0.24|20.85|457|3600|44|6094.png
150|braid|UL-CHUBER|Carp braid fishing line|0.27|24|137|1715|46|6098.png
151|braid|UL-CHUBER|Carp braid fishing line|0.27|24|274|2570|47|6100.png
152|braid|UL-CHUBER|Carp braid fishing line|0.27|24|457|3860|48|6102.png
153|braid|UL-CHUBER|Carp braid fishing line|0.29|25.9|137|2080|49|6106.png
154|braid|UL-CHUBER|Carp braid fishing line|0.29|25.9|274|3120|49|6108.png
155|braid|UL-CHUBER|Carp braid fishing line|0.29|25.9|457|4680|49|6110.png
156|braid|UL-CHUBER|Carp braid fishing line|0.32|30|137|2945|50|6114.png
157|braid|UL-CHUBER|Carp braid fishing line|0.32|30|274|4415|50|6116.png
158|braid|UL-CHUBER|Carp braid fishing line|0.32|30|457|6625|50|6118.png
159|braid|MagFin|UL Pro Serie braid fishing line|0.35|34.80|137|4110|55|8426.png
160|braid|MagFin|UL Pro Serie braid fishing line|0.35|34.80|274|6960|55|8429.png
161|braid|MagFin|UL Pro Serie braid fishing line|0.35|34.80|457|10395|55|8431.png
162|braid|MagFin|UL Pro Serie braid fishing line|0.36|40.00|137|4520|70|10561.png
163|braid|MagFin|UL Pro Serie braid fishing line|0.36|40.00|274|7865|70|10563.png
164|braid|MagFin|UL Pro Serie braid fishing line|0.36|40.00|457|11740|70|10565.png
165|braid|MagFin|UL Pro Serie braid fishing line|0.37|44.00|137|5130|80|10866.png
166|braid|MagFin|UL Pro Serie braid fishing line|0.37|44.00|274|8220|80|10867.png
167|braid|MagFin|UL Pro Serie braid fishing line|0.37|44.00|457|12155|80|10869.png
168|mare|Fletch and Bradford|OceanPower Mono|0.80|40.00|229|4845|81|12407.png
169|mare|Tsurihito|ZenLine Braid|0.40|40.00|229|6500|82|12450.png
170|mare|Fletch and Bradford|OceanPower Mono|0.80|40.00|457|7695|81|12408.png
171|mare|Tsurihito|ZenLine Braid|0.40|40.00|457|11320|82|12451.png
172|mare|Fletch and Bradford|OceanPower Mono|0.80|40.00|914|9670|81|12409.png
173|mare|Tsurihito|ZenLine Braid|0.40|40.00|914|14900|82|12452.png
174|mare|Tsurihito|ZenLine Braid|0.41|43.00|229|7350|83|12454.png
175|mare|Tsurihito|ZenLine Braid|0.41|43.00|457|11275|83|12455.png
176|mare|Tsurihito|ZenLine Braid|0.41|43.00|914|16790|83|12458.png
177|mare|Fletch and Bradford|OceanPower Mono|0.85|45.00|229|6395|83|12411.png
178|mare|Fletch and Bradford|OceanPower Mono|0.85|45.00|457|10240|83|12412.png
179|mare|Fletch and Bradford|OceanPower Mono|0.85|45.00|914|12765|83|12413.png
180|mare|Tsurihito|ZenLine Braid|0.42|47.00|229|9235|84|12459.png
181|mare|Tsurihito|ZenLine Braid|0.42|47.00|457|14260|84|12461.png
182|mare|Tsurihito|ZenLine Braid|0.42|47.00|914|21245|84|12462.png
183|mare|Fletch and Bradford|OceanPower Mono|0.90|50.00|229|7945|84|12416.png
184|mare|Fletch and Bradford|OceanPower Mono|0.90|50.00|457|12785|84|12417.png
185|mare|Fletch and Bradford|OceanPower Mono|0.90|50.00|914|15860|84|12418.png
186|mare|Tsurihito|ZenLine Braid|0.43|53.00|229|11245|85|12464.png
187|mare|Tsurihito|ZenLine Braid|0.43|53.00|457|19580|85|12465.png
188|mare|Tsurihito|ZenLine Braid|0.43|53.00|914|25700|85|12467.png
189|mare|Fletch and Bradford|OceanPower Mono|0.95|55.00|229|10675|85|12420.png
190|mare|Fletch and Bradford|OceanPower Mono|0.95|55.00|457|17030|85|12421.png
191|mare|Fletch and Bradford|OceanPower Mono|0.95|55.00|914|22255|85|12422.png
192|mare|Fletch and Bradford|OceanPower Mono|1.00|60.00|229|13350|86|12424.png
193|mare|Tsurihito|ZenLine Braid|0.44|60.00|229|18100|86|12468.png
194|mare|Fletch and Bradford|OceanPower Mono|1.00|60.00|457|21275|86|12425.png
195|mare|Tsurihito|ZenLine Braid|0.44|60.00|457|31520|86|12469.png
196|mare|Fletch and Bradford|OceanPower Mono|1.00|60.00|914|28645|86|12426.png
197|mare|Tsurihito|ZenLine Braid|0.44|60.00|914|41330|86|12470.png
198|mare|Fletch and Bradford|OceanPower Mono|1.05|65.00|229|21155|86|12428.png
199|mare|Fletch and Bradford|OceanPower Mono|1.05|65.00|457|33110|86|12429.png
200|mare|Fletch and Bradford|OceanPower Mono|1.05|65.00|914|42050|86|12430.png
201|mare|Tsurihito|ZenLine Braid|0.45|66.00|229|29901|87|12472.png
202|mare|Tsurihito|ZenLine Braid|0.45|66.00|457|43390|87|12473.png
203|mare|Tsurihito|ZenLine Braid|0.45|66.00|914|57930|87|12476.png
204|mare|Fletch and Bradford|OceanPower Mono|1.10|70.00|229|33360|87|12431.png
205|mare|Fletch and Bradford|OceanPower Mono|1.10|70.00|457|47225|87|12432.png
206|mare|Fletch and Bradford|OceanPower Mono|1.10|70.00|914|50175|87|12433.png
207|mare|Tsurihito|ZenLine Braid|0.46|72.00|229|38360|88|12553.png
208|mare|Tsurihito|ZenLine Braid|0.46|72.00|457|62975|88|12554.png
209|mare|Tsurihito|ZenLine Braid|0.46|72.00|914|79960|88|12555.png
210|mare|Fletch and Bradford|OceanPower Mono|1.15|75.00|229|40200|88|12435.png
211|mare|Fletch and Bradford|OceanPower Mono|1.15|75.00|457|58290|88|12436.png
212|mare|Fletch and Bradford|OceanPower Mono|1.15|75.00|914|77080|88|12437.png
213|mare|Tsurihito|ZenLine Braid|0.47|79.00|229|74510|89|12557.png
214|mare|Tsurihito|ZenLine Braid|0.47|79.00|457|100160|89|12558.png
215|mare|Tsurihito|ZenLine Braid|0.47|79.00|914|186000|89|12559.png
216|mare|Fletch and Bradford|OceanPower Mono|1.20|80.00|229|56700|89|12439.png
217|mare|Fletch and Bradford|OceanPower Mono|1.20|80.00|457|82015|89|12440.png
218|mare|Fletch and Bradford|OceanPower Mono|1.20|80.00|914|108332|89|12441.png
219|mare|Tsurihito|ZenLine Braid|0.48|84.00|229|109790|90|12561.png
220|mare|Tsurihito|ZenLine Braid|0.48|84.00|457|175560|90|12562.png
221|mare|Tsurihito|ZenLine Braid|0.48|84.00|914|290950|90|12563.png
222|mare|Fletch and Bradford|OceanPower Mono|1.25|85.00|229|72360|90|12443.png
223|mare|Fletch and Bradford|OceanPower Mono|1.25|85.00|457|104900|90|12444.png
224|mare|Fletch and Bradford|OceanPower Mono|1.25|85.00|914|138745|90|12445.png
225|mare|Fletch and Bradford|OceanPower Mono|1.30|90.00|229|106596|90|12447.png
226|mare|Tsurihito|ZenLine Braid|0.49|90.00|229|145070|90|12565.png
227|mare|Fletch and Bradford|OceanPower Mono|1.30|90.00|457|174180|90|12815.png
228|mare|Tsurihito|ZenLine Braid|0.49|90.00|457|250960|90|12566.png
229|mare|Fletch and Bradford|OceanPower Mono|1.30|90.00|914|213640|90|12448.png
230|mare|Tsurihito|ZenLine Braid|0.49|90.00|914|395900|90|12567.png
231|mare|Tsurihito|ZenLine Braid|0.50|96.00|229|205300|90|12569.png
232|mare|Tsurihito|ZenLine Braid|0.50|96.00|457|328290|90|12570.png
233|mare|Tsurihito|ZenLine Braid|0.50|96.00|914|544075|90|12571.png
