# LE ESCHE IN ITALIANO.  nome_inglese|nome_italiano
# ATTENZIONE: queste traduzioni le abbiamo fatte noi. Il wiki di
# Fishing Planet le pagine in italiano non ce le ha, quindi qui non
# c'e' un dato preso da loro: c'e' il nome inglese vero (quello si')
# e accanto come si dice in italiano. Dove in italiano si usa la
# parola inglese - popper, shad, crankbait, boilies - e' rimasta
# quella, perche' e' come la chiamano i pescatori.
# Un'esca che qui non c'e' resta col suo nome inglese.

# --- esche naturali e da fondo ---
African Giant Water Bug|Cimice d'acqua gigante africana
Sweet Peas|Piselli dolci
Technoplankton|Tecnoplancton
Tiger Nut Pop-up Boilies|Boilies galleggianti al tigernut
Tiger Nut Sinking Boilies|Boilies affondanti al tigernut
Tuna Fish Heads|Teste di tonno
Tuna Pop-up Pellets|Pellet galleggianti al tonno
Tuna Sinking Pellets|Pellet affondanti al tonno
Vegetables|Verdure
Wax Worms|Camole del miele
Worm|Verme
Worms|Vermi
Worm Pop-up Boilies|Boilies galleggianti al verme
Worm Sinking Boilies|Boilies affondanti al verme
Yellow Maggots|Bigattini gialli

# --- artificiali ---
Barbless Nano Spoon|Cucchiaino nano senza ardiglione
Bionic Slug|Lumaca bionica
Bucktail|Bucktail
Bucktails|Bucktail
Bullet Spinner|Rotante a proiettile
Bullet Spinners|Rotanti a proiettile
Bullet spinners|Rotanti a proiettile
Buzzbait|Buzzbait
Buzzbaits|Buzzbait
Casting Spoon|Cucchiaino ondulante
Casting Spoons|Cucchiaini ondulanti
Crankbait|Crankbait
Crankbaits|Crankbait
Craw|Gambero siliconico
Craws|Gamberi siliconici
Deep Runner|Minnow profondo
Double Hook Pilker|Pilker a due ami
Duo Swimbait|Swimbait doppio
Fish Pilkers|Pilker a pesce
Flat Spoon|Cucchiaino piatto
Freaky Walker|Walker Freaky
Freaky Walkers|Walker Freaky
Grub|Larva siliconica
Grubs|Larve siliconiche
Hunched Runner|Minnow gobbo
Jerkbait|Jerkbait
Jerkbaits|Jerkbait
Jigging Spoon|Cucchiaino da jigging
Major Popper|Popper Major
Medium Spoon|Cucchiaino medio
Medium Spoons|Cucchiaini medi
Mini Crank|Crankbait mini
Mini Cranks|Crankbait mini
Mini Pilker|Pilker mini
Mini Pilkers|Pilker mini
Minnow|Minnow
Minnow Grub|Larva pesciolino
Mouse Lure|Topolino artificiale
Nano Spinner|Rotante nano
Nano Spinners|Rotanti nano
Nano Spoon|Cucchiaino nano
Nano Spoons|Cucchiaini nano
Narrow Spoon|Cucchiaino stretto
Narrow Spoons|Cucchiaini stretti
Nordic Pilkers|Pilker nordici
Pilkers|Pilker
Plug|Plug
Plugs|Plug
Popper|Popper
Poppers|Popper
Ribbed Shad|Shad rigato
Saltwater Poppers|Popper da mare
Saltwater Slugs|Lumache da mare
Saltwater Spoons|Cucchiaini da mare
Saltwater Twisters|Twister da mare
Shad|Shad
Shads|Shad
Single Hook Pilker|Pilker a un amo
Single Spoon|Cucchiaino singolo
Single Spoons|Cucchiaini singoli
Slop Spoon|Cucchiaino antialga
Slop Spoons|Cucchiaini antialga
Slug|Lumaca
Slugs|Lumache
Softbaits|Siliconici
Spinner|Cucchiaino rotante
Spinners|Cucchiaini rotanti
Spinner Tail|Rotante con coda
Spinners with tails|Rotanti con coda
Spinnerbait|Spinnerbait
Spinnerbaits|Spinnerbait
Squid Chain|Catena di calamari
Squid Jig|Totanara
Squid Jigs|Totanare
Swimbait|Swimbait
Swimbaits|Swimbait
Topper|Topper
Torch Flashlight|Lampeggiante
Triple Runner|Minnow a tre snodi
Trolling Octopus|Polpo da traina
Trolling Octopuses|Polpi da traina
Trolling Skirts|Gonnellini da traina
Tube|Tubo siliconico
Twerky Runner|Minnow Twerky
Twin Tail Spider Grub|Larva ragno a doppia coda
Walker|Walker
Walkers|Walker
