# id|tipo|nome|colore|grammi|cm|amo|prezzo|liv_wiki|img
# ESCHE ARTIFICIALI - dati veri dal wiki di Fishing Planet
# tipo: cucchiaino, rotante, minnow, jig, siliconico, mare
132|mare|Bucktail|Pink/White|21|9|#4/0|4985|83|12385.png
133|mare|Bucktail|White/Silver|21|9|#4/0|4985|83|12387.png
134|mare|Plug|Light Wood|75|12.5|#6/0|17450|83|12370.png
135|mare|Plug|Light Wood|85|12.5|#8/0|19300|83|12370.png
136|mare|Plug|Light Wood|115|15|#8/0|21720|83|12370.png
137|mare|Plug|Dark Wood|75|12.5|#6/0|17450|83|12371.png
138|mare|Plug|Dark Wood|85|12.5|#8/0|19300|83|12371.png
139|mare|Plug|Dark Wood|115|15|#8/0|21720|83|12371.png
140|mare|Single Hook Pilker|Blue|60|14|#4/0|12650|83|12375.png
141|mare|Single Hook Pilker|Green|60|14|#4/0|12650|83|12376.png
142|mare|Bucktail|Green/White|35|11|#5/0|6250|84|12384.png
143|mare|Bucktail|Pink/White|35|11|#5/0|6250|84|12385.png
144|mare|Bucktail|White/Silver|35|11|#5/0|6250|84|12387.png
145|mare|Single Hook Pilker|Blue|80|15.5|#5/0|14330|84|12375.png
146|mare|Single Hook Pilker|Green|80|15.5|#5/0|14330|84|12376.png
147|mare|Squid Jig|Green/Yellow|15|10|#2/0|3190|84|12395.png
148|mare|Squid Jig|Dark Blue|15|10|#2/0|3190|84|12396.png
149|mare|Bucktail|Green/White|50|13|#6/0|7625|85|12384.png
150|mare|Bucktail|Pink/White|50|13|#6/0|7625|85|12385.png
151|mare|Bucktail|White/Silver|50|13|#6/0|7625|85|12387.png
152|mare|Plug|Light Wood|150|17.5|#10/0|22540|85|12370.png
153|mare|Plug|Light Wood|190|20|#10/0|23110|85|12370.png
154|mare|Plug|Dark Wood|150|17.5|#10/0|22540|85|12371.png
155|mare|Plug|Dark Wood|190|20|#10/0|23110|85|12371.png
156|mare|Squid Jig|Green/Yellow|25|13|#3/0|3770|85|12395.png
157|mare|Squid Jig|Dark Blue|25|13|#3/0|3770|85|12396.png
158|mare|Trolling Octopus|Red|28|9|#3/0|23580|85|12389.png
159|mare|Trolling Octopus|Light Green/Yellow|28|9|#3/0|23580|85|12391.png
160|mare|Single Hook Pilker|Blue|100|17|#6/0|15260|86|12375.png
161|mare|Single Hook Pilker|Green|100|17|#6/0|15260|86|12376.png
162|mare|Squid Chain|Black||15||6690|86|12397.png
163|mare|Squid Chain|Green||15||6690|86|12399.png
164|mare|Squid Chain|Red||15||6690|86|12401.png
165|mare|Trolling Octopus|Red|43|12|#4/0|25860|86|12389.png
166|mare|Trolling Octopus|Light Green/Yellow|43|12|#4/0|25860|86|12391.png
167|mare|Double Hook Pilker|Light Blue/Green|125|16|#6/0|17150|87|12380.png
168|mare|Double Hook Pilker|Light Blue/Green|150|18|#7/0|18490|87|12380.png
169|mare|Double Hook Pilker|Dark Blue|125|16|#6/0|17150|87|12382.png
170|mare|Double Hook Pilker|Dark Blue|150|18|#7/0|18490|87|12382.png
171|mare|Trolling Octopus|Red|57|15|#5/0|27015|87|12389.png
172|mare|Trolling Octopus|Light Green/Yellow|57|15|#5/0|27015|87|12391.png
173|mare|Double Hook Pilker|Light Blue/Green|175|20|#8/0|19270|88|12380.png
174|mare|Double Hook Pilker|Dark Blue|175|20|#8/0|19270|88|12382.png
175|mare|Trolling Octopus|Red|71|18|#6/0|28180|89|12389.png
176|mare|Trolling Octopus|Light Green/Yellow|71|18|#6/0|28180|89|12391.png
177|mare|Squid Chain|Black||20||8725|90|12402.png
178|mare|Squid Chain|Green||20||8725|90|12404.png
179|mare|Trolling Octopus|Red|85|20|#7/0|29340|90|12389.png
180|mare|Trolling Octopus|Light Green/Yellow|85|20|#7/0|29340|90|12391.png
181|minnow|Walker|Natural|10|7.5|#1/0|1000|14|3660.png
182|minnow|Jerkbait|Red & White|18|12|#3/0|2850|20|1148.png
183|minnow|Popper|Silver&Green With Red Head|14|9|#2/0|2200|20|3626.png
184|minnow|Popper|White With Black Back|14|9|#2/0|2200|20|3624.png
185|minnow|Popper|Yellow with Red Back|14|9|#2/0|2200|20|3622.png
186|minnow|Jerkbait|Wine & Silver|18|12|#3/0|2850|21|1150.png
187|minnow|Walker|Natural|14|10|#3/0|3250|21|3660.png
188|minnow|Jerkbait|Lemon With Black Stripes|18|12|#3/0|2850|22|694.png
189|minnow|Jerkbait|Tiger|18|12|#3/0|2850|23|397.png
190|minnow|Triple Runner|Purple|14|12|#1/0|2000|24|7022.png
191|minnow|Triple Runner|White With Blue Head|14|12|#1/0|2000|24|7030.png
192|minnow|Hunched Runner|Roach|14|12|#1/0|2000|25|7009.png
193|minnow|Hunched Runner|Roach|21|13|#2/0|2500|25|7009.png
194|minnow|Crankbait|Crawfish|21|10|#2/0|2500|26|1221.png
195|minnow|Crankbait|Rainbow|21|10|#2/0|2500|26|1220.png
196|minnow|Crankbait|Crawfish|18|8.5|#3/0|3000|27|1221.png
197|minnow|Crankbait|Dim Green/Glow Green|18|8.5|#2/0|4000|27|2757.png
198|minnow|Hunched Runner|Roach|24|14|#2/0|2500|27|7009.png
199|minnow|Hunched Runner|Perch|24|14|#2/0|2500|27|7010.png
200|minnow|Crankbait|Crawfish|28|12.5|#4/0|3500|28|1221.png
201|minnow|Frog|Yellow|14|7.5|#2/0|2750|28|3652.png
202|minnow|Frog|Green And Acid Green|14|7.5|#2/0|2750|28|3650.png
203|minnow|Frog|Green And Orange|14|7.5|#2/0|2750|28|3656.png
204|minnow|Frog|Black And Yellow|14|7.5|#2/0|2750|28|3654.png
205|minnow|Frog|Acid Green And Yellow|14|7.5|#2/0|2750|28|3658.png
206|minnow|Triple Runner|Purple|24|14|#2/0|2500|28|7022.png
207|minnow|Triple Runner|White With Blue Head|24|14|#2/0|2500|28|7030.png
208|minnow|Crankbait|Smoke|28|12.5|#4/0|4000|29|1217.png
209|minnow|Crankbait|Perch|28|12.5|#4/0|4000|29|1218.png
210|minnow|Crankbait|Dim Green/Glow Green|24|11|#3/0|4500|29|2757.png
211|minnow|Popper|Silver&Green With Red Head|21|10|#4/0|3100|30|3626.png
212|minnow|Popper|White With Black Back|21|10|#4/0|3100|30|3624.png
213|minnow|Popper|Yellow with Red Back|21|10|#4/0|3100|30|3622.png
214|minnow|Crankbait|Lemon|21|10|#2/0|3000|31|1222.png
215|minnow|Crankbait|Smoke|21|10|#2/0|3000|31|1217.png
216|minnow|Jerkbait|Red & White|42|15|#6/0|4250|31|1148.png
217|minnow|Crankbait|Lemon|28|12.5|#4/0|3500|32|1222.png
218|minnow|Hunched Runner|Roach|42|16|#2/0|3100|32|7009.png
219|minnow|Hunched Runner|Perch|42|16|#2/0|3100|32|7010.png
220|minnow|Jerkbait|Wine & Silver|42|15|#6/0|4250|32|1150.png
221|minnow|Frog|Yellow|21|6.5|#4/0|3630|33|3652.png
222|minnow|Frog|Green And Acid Green|21|6.5|#4/0|3630|33|3650.png
223|minnow|Frog|Green And Orange|21|6.5|#4/0|3630|33|3656.png
224|minnow|Frog|Black And Yellow|21|6.5|#4/0|3630|33|3654.png
225|minnow|Frog|Acid Green And Yellow|21|6.5|#4/0|3630|33|3658.png
226|minnow|Jerkbait|Lemon With Black Stripes|42|15|#6/0|4250|33|694.png
227|minnow|Triple Runner|Purple|18|12|#3/0|3000|33|7022.png
228|minnow|Crankbait|Crawfish|24|11|#3/0|3000|34|1221.png
229|minnow|Crankbait|Rainbow|24|11|#3/0|3000|34|1220.png
230|minnow|Jerkbait|Tiger|42|15|#6/0|4250|34|397.png
231|minnow|Crankbait|Lemon|24|11|#3/0|3000|35|1222.png
232|minnow|Crankbait|Smoke|24|11|#3/0|3000|35|1217.png
233|minnow|Triple Runner|Purple|28|14|#3/0|3500|35|7022.png
234|minnow|Triple Runner|White With Blue Head|28|14|#3/0|3500|35|7030.png
235|minnow|Walker|Natural|28|7.5|#3/0|4050|35|3660.png
236|minnow|Crankbait|Dim Green/Glow Green|28|12.5|#4/0|5000|36|2757.png
237|minnow|Hunched Runner|Roach|28|14|#3/0|4250|37|7009.png
238|minnow|Hunched Runner|Perch|28|14|#4/0|4500|37|7010.png
239|minnow|Topper|Silver and Red|18|8|#2/0|2920|37|11932.png
240|minnow|Topper|Green&Silver|18|8|#2/0|2920|37|11944.png
241|minnow|Triple Runner|White With Blue Head|12|10|#2/0|2500|37|7030.png
242|minnow|Triple Runner|White With Blue Head|36|10|#4/0|4500|37|7030.png
243|minnow|Triple Runner|White With Blue Head|18|12|#3/0|3500|37|7030.png
244|minnow|Crankbait|Lemon|42|14|#5/0|4000|38|1222.png
245|minnow|Crankbait|Smoke|42|14|#5/0|4000|38|1217.png
246|minnow|Crankbait|Perch|42|14|#5/0|4000|38|1218.png
247|minnow|Deep Runner|Orange Fish|28|14|#4/0|5200|38|6966.png
248|minnow|Deep Runner|Green With Black Dot|28|14|#4/0|5200|38|6970.png
249|minnow|Hunched Runner|Roach|48|16|#4/0|5200|38|7009.png
250|minnow|Hunched Runner|Perch|48|16|#4/0|5200|38|7010.png
251|minnow|Crankbait|Rainbow|42|14|#5/0|4000|39|1220.png
252|minnow|Crankbait|White & Blue|42|14|#5/0|4000|39|1219.png
253|minnow|Walker|Natural|42|7.5|#4/0|4610|39|3660.png
254|minnow|Crankbait|Lemon|56|15|#6/0|4500|40|1222.png
255|minnow|Crankbait|Rainbow|56|15|#6/0|4500|40|1220.png
256|minnow|Crankbait|White & Blue|56|15|#6/0|4500|40|1219.png
257|minnow|Deep Runner|Orange Fish|36|14|#6/0|6000|40|6966.png
258|minnow|Deep Runner|Green With Black Dot|36|14|#6/0|6000|40|6970.png
259|minnow|Major Popper|Black&Silver|24|10|#3/0|3240|40|8233.png
260|minnow|Major Popper|Blue&Silver|24|10|#3/0|3240|40|8239.png
261|minnow|Deep Runner|Orange Fish|42|15|#4/0|5500|42|6966.png
262|minnow|Deep Runner|Green With Black Dot|42|15|#4/0|5500|42|6970.png
263|minnow|Topper|Silver and Red|28|8.5|#4/0|4170|42|11932.png
264|minnow|Topper|Green&Silver|28|8.5|#4/0|4170|42|11944.png
265|minnow|Swimbait|Tiger|28|10|#1/0|3730|43|8920.png
266|minnow|Swimbait|Silver&Pink|28|10|#1/0|3730|43|8919.png
267|minnow|Deep Runner|Orange Fish|48|15|#6/0|6500|44|6966.png
268|minnow|Deep Runner|Green With Black Dot|48|15|#6/0|6500|44|6970.png
269|minnow|Deep Runner|Orange Fish|50|16|#6/0|6800|47|6966.png
270|minnow|Deep Runner|Green With Black Dot|50|16|#6/0|6800|47|6970.png
271|minnow|Major Popper|Black&Silver|42|12.5|#5/0|4310|47|8233.png
272|minnow|Major Popper|Blue&Silver|42|12.5|#5/0|4310|47|8239.png
273|minnow|Twerky Runner|Night Hunter|28|(in.)|#3/0|5250|47|13144.png
274|minnow|Twerky Runner|Clown|28|(in.)|#3/0|5210|47|13145.png
275|minnow|Freaky Walker|Black/Red|15|7.5|#2/0|4510|48|12942.png
276|minnow|Freaky Walker|Silver/Gray|15|7.5|#2/0|4510|48|12943.png
277|minnow|Hunched Runner|Roach|36|12|#4/0|5700|48|7009.png
278|minnow|Hunched Runner|Roach|56|16|#4/0|5700|48|7009.png
279|minnow|Hunched Runner|Perch|56|16|#4/0|5700|48|7010.png
280|minnow|Mini Crank|Green Tiger|5|4|#1|3150|48|11379.png
281|minnow|Mini Crank|Brown and Yellow|5|4|#1|3150|48|11449.png
282|minnow|Swimbait|Tiger|42|12.5|#2/0|4470|48|8920.png
283|minnow|Swimbait|Silver&Pink|42|12.5|#2/0|4470|48|8919.png
284|minnow|Topper|Silver and Red|36|9|#6/0|5250|48|11932.png
285|minnow|Topper|Green&Silver|36|9|#6/0|5250|48|11944.png
286|minnow|Triple Runner|White With Blue Head|48|12|#5/0|6300|48|7030.png
287|minnow|Freaky Walker|Black/Red|21|7.5|#3/0|4780|49|12942.png
288|minnow|Freaky Walker|Silver/Gray|21|7.5|#3/0|4780|49|12943.png
289|minnow|Mini Crank|Green Tiger|7|5|#1/0|3350|49|11379.png
290|minnow|Mini Crank|Brown and Yellow|7|5|#1/0|3350|49|11449.png
291|minnow|Mouse Lure|Black|14|10|#2/0|5450|49|11370.png
292|minnow|Twerky Runner|Night Hunter|30|6.3|#5/0|5960|49|13144.png
293|minnow|Twerky Runner|Clown|30|6.3|#5/0|5820|49|13145.png
294|minnow|Walker|Natural|56|10|#4/0|4975|49|3660.png
295|minnow|Deep Runner|Orange Fish|56|16|#8/0|7750|50|6966.png
296|minnow|Deep Runner|Green With Black Dot|56|16|#8/0|7750|50|6970.png
297|minnow|Mini Crank|Green Tiger|9|6|#2/0|3750|51|11379.png
298|minnow|Mini Crank|Brown and Yellow|9|6|#2/0|3750|51|11449.png
299|minnow|Twerky Runner|Night Hunter|32|6.3|#7/0|6880|51|13144.png
300|minnow|Twerky Runner|Clown|32|6.3|#7/0|6840|51|13145.png
301|minnow|Swimbait|Tiger|48|15|#3/0|5320|52|8920.png
302|minnow|Swimbait|Silver&Pink|48|15|#3/0|5320|52|8919.png
303|minnow|Mini Crank|Green Tiger|12|6.5|#3/0|4350|53|11379.png
304|minnow|Mini Crank|Brown and Yellow|12|6.5|#3/0|4350|53|11449.png
305|minnow|Mouse Lure|Black|21|12|#3/0|5450|53|11370.png
306|minnow|Major Popper|Black&Silver|70|15|#7/0|5510|55|8233.png
307|minnow|Major Popper|Blue&Silver|70|15|#7/0|5510|55|8239.png
308|minnow|Hunched Runner|Roach|64|16|#4/0|6285|56|7009.png
309|minnow|Hunched Runner|Perch|64|16|#4/0|6285|56|7010.png
310|minnow|Mouse Lure|Black|36|14|#5/0|5830|56|11370.png
311|minnow|Swimbait|Tiger|64|15|#4/0|5500|57|8920.png
312|minnow|Swimbait|Silver&Pink|64|15|#4/0|5500|57|8919.png
313|minnow|Walker|Natural|64|10|#5/0|5300|58|3660.png
314|minnow|Hunched Runner|Roach|48|13|#6/0|7100|59|7009.png
315|minnow|Hunched Runner|Roach|56|14|#7/0|7570|59|7009.png
316|minnow|Mouse Lure|Black|48|16|#7/0|5450|59|11370.png
317|minnow|Swimbait|Tiger|71|15|#5/0|6160|59|8920.png
318|minnow|Swimbait|Silver&Pink|71|15|#5/0|6160|59|8919.png
319|minnow|Swimbait|Tiger|92|15|#6/0|6550|60|8920.png
320|minnow|Swimbait|Silver&Pink|92|15|#6/0|6550|60|8919.png
321|minnow|Duo Swimbait|Natural Green|28|10|#3/0|6380|66|9507.png
322|minnow|Duo Swimbait|Natural Red|28|10|#3/0|6380|66|9511.png
323|minnow|Duo Swimbait|Natural Green|56|12|#4/0|6650|68|9507.png
324|minnow|Duo Swimbait|Natural Red|56|12|#4/0|6650|68|9511.png
325|minnow|Duo Swimbait|Natural Green|71|15|#8/0|7230|70|9507.png
326|minnow|Duo Swimbait|Natural Red|71|15|#8/0|7230|70|9511.png
327|rotante|Nano Spinner|Gold and Black Trout|2|4|#2|350|9|1544.png
328|rotante|Nano Spinner|Gold and Black Trout|4|5|#1|400|9|1544.png
329|rotante|Nano Spinner|Yellow Tiger Bug|2|4|#2|350|9|1546.png
330|rotante|Nano Spinner|Yellow Tiger Bug|4|5|#1|400|9|1546.png
331|rotante|Nano Spinner|Yellow Perch|2|4|#2|350|9|1550.png
332|rotante|Nano Spinner|Yellow Perch|4|5|#1|400|9|1550.png
333|rotante|Spinner|Silver|4|5|#1/0|320|9|944.png
334|rotante|Spinner|Gold|4|5|#1/0|320|9|943.png
335|rotante|Nano Spinner|Gold and Black Trout|6|6|#1/0|480|15|1544.png
336|rotante|Nano Spinner|Yellow Tiger Bug|6|6|#1/0|480|15|1546.png
337|rotante|Nano Spinner|Yellow Perch|6|6|#1/0|480|15|1550.png
338|rotante|Spinner|Beetle|14|7.5|#3/0|450|17|946.png
339|rotante|Spinner|Rainbow|14|7.5|#3/0|450|17|948.png
340|rotante|Spinner Tail|Brown||5||120|22|7662.png
341|rotante|Spinner Tail|White||5||120|22|7656.png
342|rotante|Spinner Tail|Blue||5||120|26|7664.png
343|rotante|Spinner Tail|Yellow||5||120|26|7654.png
344|rotante|Spinnerbait|Lemon Skirt And Blades|14|6|#2/0|850|26|2405.png
345|rotante|Spinnerbait|Dark Blue Skirt And Gold&Silver Blades|14|6|#2/0|850|26|2411.png
346|rotante|Spinnerbait|Lemon Skirt And Blades|21|8|#3/0|950|27|2405.png
347|rotante|Spinnerbait|Dark Blue Skirt And Gold&Silver Blades|21|8|#3/0|950|27|2411.png
348|rotante|Spinnerbait|Lemon Skirt And Blades|28|10|#4/0|1050|28|2405.png
349|rotante|Spinnerbait|Dark Blue Skirt And Gold&Silver Blades|28|10|#4/0|1050|28|2411.png
350|rotante|Spinner|Beetle|21|7.5|#6/0|580|31|946.png
351|rotante|Spinner|Rainbow|21|7.5|#6/0|580|31|948.png
352|rotante|Spinner Tail|Green||5||120|31|7660.png
353|rotante|Spinner Tail|Red||5||120|31|7658.png
354|rotante|Bullet Spinner|Black Beetle|24|7.5|#2/0|800|38|2610.png
355|rotante|Bullet Spinner|Rose and Blue Trout|24|7.5|#2/0|800|38|2604.png
356|rotante|Bullet Spinner|Yellow Beetle|24|7.5|#2/0|800|38|2608.png
357|rotante|Bullet Spinner|Silver and Blue|24|7.5|#2/0|800|38|2602.png
358|rotante|Bullet Spinner|Black Beetle|36|8.5|#4/0|1000|39|2610.png
359|rotante|Bullet Spinner|Rose and Blue Trout|36|8.5|#4/0|1000|39|2604.png
360|rotante|Bullet Spinner|Yellow Beetle|36|8.5|#4/0|1000|39|2608.png
361|rotante|Bullet Spinner|Silver and Blue|36|8.5|#4/0|1000|39|2602.png
362|rotante|Buzzbait|Black|18|8|#3/0|1595|42|8136.png
363|rotante|Buzzbait|White|18|8|#3/0|1595|42|8142.png
364|rotante|Buzzbait|Black|24|9|#4/0|1750|43|8136.png
365|rotante|Buzzbait|White|24|9|#4/0|1750|43|8142.png
