# I NOMI DEI PESCI IN ITALIANO.
# nome_inglese|nome_italiano
# Sono i nomi comuni italiani veri della specie dove esistono.
# NOTA: per 93 specie senza nome comune italiano il nome e' un ADATTAMENTO NOSTRO
# (traduzione del nome inglese o nome locale invariato: Apapa, Biara, Wahoo, Walleye...).
African Big Eye Catfish|Pesce gatto africano occhione
Green Sunfish|Persico sole verde
Greenland Halibut|ippoglosso nero
Greenland Shark|squalo della Groenlandia
Gudgeon|gobione
Haddock|eglefino
Humpback Whitefish|coregone
Hybrid F1 Carp|carpa ibrida F1
Ide|ido
Indo-Pacific King Mackerel|Sgombro reale indo-pacifico
Jacunda|Jacunda
Japanese Amberjack|ricciola giapponese
Japanese Anchovy|acciuga giapponese
Japanese Jack Mackerel|sugarello giapponese
Kamba Catfish|Pesce gatto kamba
Lake Chub|Cavedano di lago
Lake Sturgeon|storione di lago
Lake Trout|trota di lago
Lake Whitefish|coregone di lago
Largemouth Bass|persico trota
Leather Carp|carpa cuoio
Lenok|lenok
Longnose Gar|lepisosteo
Longnose Sucker|Succhiatore musolungo
Mahi-Mahi|lampuga
Marble Trout|trota marmorata
Meagre|ombrina bocca d'oro
Mirror Carp|carpa a specchio
Monkey Goby|Ghiozzo scimmia
Muskellunge|Muskellunge
Narrow-Barred Mackerel|maccarello reale
Nile Perch|persico del Nilo
Nile Tilapia|tilapia del Nilo
Northern Pike|luccio
Norway Atlantic Salmon|salmone atlantico norvegese
Norway Seaperch|scorfano norvegese
Oregon Redband Trout|Trota fascia rossa dell'Oregon
Orinoco Peacock Bass|Pavone dell'Orinoco
Oscar|oscar
Pacific Bluefin Tuna|tonno rosso del Pacifico
Payara|Payara
Permit|Permit
Pink Salmon|salmone rosa
Piraiba|Piraiba
Porbeagle Shark|smeriglio
Prussian Carp|carassio prussiano
Pumpkinseed|persico sole
Purple Labeo|Labeo viola
Rainbow Trout|trota iridea
Red Drum|ombrina ocellata
Red Peacock Bass|Pavone rosso
Red Tail Barracuda|Barracuda codarossa
Red-Bellied Piranha|piranha dal ventre rosso
Redbreast Sunfish|Persico sole pettorosso
Redear Sunfish|Persico sole orecchierosse
Redeye Piranha|piranha occhio rosso
Redfin Pickerel|Luccio pinnarossa
Rednose Labeo|Labeo musorosso
Redtail Catfish|pesce gatto dalla coda rossa
Ripsaw Catfish|Pesce gatto sega
Rock Bass|persico delle rocce
Round Goby|ghiozzo tondo
Ruby Snapper|Dentice rubino
Sailfish|pesce vela
Sauger|Sauger
Sea Trout|trota di mare
Shoal Bass|Bass di secca
Siberian Taimen|taimen siberiano
Sickle Pomfret|Pesce castagna falce
Silver Arowana|arowana argentata
Silver Bream|blicca
Silver Carp|carpa argentata
Silver Croaker|Ombrina argentata
Skipjack Tuna|tonnetto striato
Sleek Unicornfish|Pesce unicorno liscio
Smallmouth Bass|boccapiccola
Smallmouth Buffalo|Bufalo boccapiccola
Sockeye Salmon|salmone rosso
Sorubim Catfish|Sorubim
Southern Flounder|Rombo del sud
Speckled Peacock Bass|Pavone maculato
Spiny Dogfish|spinarolo
Splake|Splake
Spotfin Flyingfish|pesce volante
Spotted Aracu|Aracu maculato
Spotted Bass|Bass maculato
Spotted Gar|Luccio alligatore maculato
Steelhead|trota steelhead
Sterlet|sterleto
Striped Bass|spigola striata
Striped Bonito|palamita striata
Striped Marlin|marlin striato
Swordfish|pesce spada
Tambaqui|tambaqui
Tarpon|tarpone
Tench|tinca
Thicklip Grey Mullet|cefalo bosega
Tiger Muskie|Muskie tigre
Tiger Trout|trota tigre
Trahira|Trahira
Two-Spot Red Snapper|Dentice rosso due macchie
Vundu Catfish|Pesce gatto vundu
Wahoo|Wahoo
Walleye|Walleye
Warmouth|Warmouth
Wels Catfish|siluro
White Bass|Bass bianco
White Catfish|Pesce gatto bianco
White Crappie|Crappie bianco
White Sturgeon|storione bianco
White Sucker|Succhiatore bianco
White-Eye Bream|Abramide occhiobianco
Whiting|merlano
Yellow Perch|persico giallo
Yellowfin Tuna|tonno albacora
Yellowstripe Scad|Sugarello striagialla
Zander|lucioperca
Ziege|pesce sciabola
